"sg_uf";"cd_municipio";"nm_municipio";"nr_zona";"nr_secao";"qt_votos_presidente";"qt_votos_pre_22";"qt_votos_pre_13";"qt_votos_pre_outros";"qt_votos_governador";"url_tse"
"AC";"1023";"PORTO ACRE";"1";"580";"185";"121";"37";"27";"184";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1023;zn=1;se=580/dados-de-urna/boletim-de-urna"
"AC";"1104";"JORDÃO";"5";"28";"179";"67";"82";"30";"177";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1104;zn=5;se=28/dados-de-urna/boletim-de-urna"
"AC";"1473";"TARAUACÁ";"5";"80";"208";"94";"94";"20";"207";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1473;zn=5;se=80/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"313";"267";"135";"81";"51";"246";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=313/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"129";"301";"185";"80";"36";"281";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=129/dados-de-urna/boletim-de-urna"
"AC";"1511";"PLÁCIDO DE CASTRO";"8";"144";"228";"159";"40";"29";"227";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1511;zn=8;se=144/dados-de-urna/boletim-de-urna"
"AC";"1058";"BRASILÉIA";"6";"7";"202";"136";"45";"21";"201";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1058;zn=6;se=7/dados-de-urna/boletim-de-urna"
"AC";"1058";"BRASILÉIA";"6";"88";"253";"165";"68";"20";"252";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1058;zn=6;se=88/dados-de-urna/boletim-de-urna"
"AC";"1074";"CRUZEIRO DO SUL";"4";"58";"229";"155";"41";"33";"220";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1074;zn=4;se=58/dados-de-urna/boletim-de-urna"
"AC";"1473";"TARAUACÁ";"5";"14";"203";"97";"84";"22";"202";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1473;zn=5;se=14/dados-de-urna/boletim-de-urna"
"AC";"1570";"ASSIS BRASIL";"6";"93";"258";"163";"71";"24";"257";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1570;zn=6;se=93/dados-de-urna/boletim-de-urna"
"AC";"1473";"TARAUACÁ";"5";"16";"158";"72";"61";"25";"157";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1473;zn=5;se=16/dados-de-urna/boletim-de-urna"
"AC";"1112";"EPITACIOLÂNDIA";"6";"40";"222";"141";"57";"24";"221";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1112;zn=6;se=40/dados-de-urna/boletim-de-urna"
"AC";"1031";"SANTA ROSA DO PURUS";"3";"96";"247";"54";"180";"13";"246";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1031;zn=3;se=96/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"415";"268";"155";"81";"32";"246";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=415/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"86";"268";"174";"65";"29";"265";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=86/dados-de-urna/boletim-de-urna"
"AC";"1074";"CRUZEIRO DO SUL";"4";"168";"209";"158";"36";"15";"205";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1074;zn=4;se=168/dados-de-urna/boletim-de-urna"
"AC";"1058";"BRASILÉIA";"6";"19";"259";"182";"54";"23";"258";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1058;zn=6;se=19/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"292";"290";"179";"73";"38";"270";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=292/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"403";"283";"158";"81";"44";"260";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=403/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"308";"289";"160";"92";"37";"266";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=308/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"43";"304";"163";"88";"53";"281";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=43/dados-de-urna/boletim-de-urna"
"AC";"1112";"EPITACIOLÂNDIA";"6";"50";"234";"166";"46";"22";"233";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1112;zn=6;se=50/dados-de-urna/boletim-de-urna"
